track_id,gt_label,max_extent,coverage,unobs_frac,asset_shape_cd,asset_unobs_recon,cluster_unobs_recon,asset_better,n_clip
2,sofa,1.931,0.6458,0.3542,0.0693,0.08,0.094,True,86074
3,armchair,0.891,0.7955,0.2045,0.055,0.0677,0.1161,True,48691
5,floorlamp,2.083,0.1968,0.8033,0.1091,0.168,0.1472,False,21079
16,tvstand,1.016,0.5513,0.4487,0.0305,0.023,0.0711,True,17188
28,diningtable,1.487,0.113,0.887,0.1328,0.119,0.136,True,20620
0,floorlamp,1.75,0.2993,0.7007,0.1939,0.2388,0.246,True,4582
8,painting,0.808,0.8752,0.1248,0.0893,0.105,0.097,False,11481
11,television,1.138,0.0015,0.9985,0.126,0.0977,0.4146,True,2681
6,painting,0.842,0.9097,0.0903,0.1144,0.0893,0.0705,False,7093
14,laptop,0.505,0.1762,0.8237,0.1407,0.0533,0.1141,True,4827
