config,scene,n_pred,iou_f1,recall@0.5,scan2cad,centroid_m,scale_err,chamfer_m,footprint_iou,cd_f1@1m,cd_micro_f1,class_free@1m
asset_icp_gt,mean(n=10),73.5,0.4849,0.2239,0.0884,0.0657,0.3191,0.176,0.4019,0.7056,0.4226,0.9864
asset_layout_gt,mean(n=10),73.5,0.4043,0.147,0.0753,0.0854,0.3187,0.182,0.387,0.7065,0.4226,0.9859
asset_scaleicp_gt,mean(n=10),73.5,0.4491,0.1904,0.0428,0.0663,0.3351,0.1761,0.4126,0.708,0.4226,0.9851
cluster_gt,mean(n=10),73.6,0.405,0.2293,0.1232,0.0494,0.3059,0.1575,0.446,0.6856,0.4166,0.9848
