track_id,gt_label,max_extent,coverage,unobs_frac,asset_shape_cd,asset_unobs_recon,cluster_unobs_recon,asset_better,n_clip
2,countertop,3.049,0.0517,0.9483,0.1017,0.1007,0.1836,True,94678
26,armchair,1.526,0.4375,0.5625,0.0496,0.0726,0.1273,True,68893
33,sofa,1.931,0.436,0.564,0.0736,0.0756,0.1306,True,48332
142,houseplant,0.584,0.521,0.479,0.2163,0.0763,0.1576,True,5558
85,diningtable,1.473,0.1105,0.8895,0.0935,0.0681,0.1459,True,4228
178,clothesdryer,1.143,0.3533,0.6467,0.0848,0.1096,0.1892,True,36334
9,chair,0.83,0.7682,0.2318,0.0782,0.0584,0.0556,False,7031
147,toilet,1.038,0.6797,0.3203,0.0609,0.0433,0.1047,True,25956
92,shelf,0.629,0.6548,0.3452,0.1439,0.0365,0.1005,True,3492
36,floorlamp,1.878,0.1978,0.8023,0.1114,0.11,0.1226,True,10334
31,painting,1.077,0.8792,0.1208,0.1308,0.0796,0.0869,True,11991
14,painting,0.808,0.8905,0.1095,0.0949,0.1101,0.0944,False,11880
34,television,1.279,0.9745,0.0255,0.1052,0.04,0.0553,True,11125
12,painting,0.889,0.9203,0.0797,0.0819,0.0878,0.0867,False,10812
41,diningtable,1.008,0.5903,0.4097,0.065,0.0094,0.0848,True,3928
66,chair,0.83,0.045,0.955,0.1415,0.0718,0.1614,True,151
76,chair,0.83,0.5982,0.4018,0.0872,0.0636,0.0607,False,4373
57,painting,0.818,0.5575,0.4425,0.125,0.0305,0.1048,True,112
128,chair,0.83,0.022,0.978,0.1549,0.0733,0.2452,True,351
167,laundryhamper,0.604,0.504,0.496,0.0979,0.0826,0.1078,True,5408
45,houseplant,0.644,0.9227,0.0773,0.0659,0.026,0.0593,True,2435
115,chair,0.966,0.9855,0.0145,0.0433,0.0652,0.0746,True,1386
