track_id,gt_label,max_extent,coverage,unobs_frac,asset_shape_cd,asset_unobs_recon,cluster_unobs_recon,asset_better,n_clip
2,bed,2.106,0.0902,0.9098,0.0836,0.1889,0.2017,True,92867
18,sofa,1.962,0.627,0.373,0.0519,0.0905,0.1031,True,88996
23,pot,0.502,0.9978,0.0022,0.1487,0.0711,0.055,False,4413
59,armchair,1.526,0.4333,0.5667,0.0522,0.0691,0.117,True,74874
27,chair,0.83,0.7705,0.2295,0.198,0.1226,0.0565,False,4610
313,bed,2.415,0.3073,0.6927,0.0636,0.1531,0.2705,True,45298
1,diningtable,1.473,0.3255,0.6745,0.0773,0.0806,0.1041,True,27701
34,diningtable,1.473,0.3058,0.6943,0.0482,0.0389,0.1056,True,29622
54,floorlamp,2.083,0.1708,0.8293,0.0802,0.0994,0.1581,True,17942
101,laptop,0.505,0.1057,0.8942,0.1181,0.0334,0.1086,True,3742
33,chair,0.83,0.6895,0.3105,0.0881,0.0565,0.0582,True,6913
183,toilet,1.165,0.5547,0.4453,0.0816,0.0536,0.0937,True,21930
199,painting,1.077,0.9055,0.0945,0.1227,0.0853,0.0797,False,12159
173,chair,0.83,0.684,0.316,0.1935,0.093,0.0588,False,4866
0,television,1.077,0.5238,0.4762,0.1287,0.0528,0.1062,True,15132
52,houseplant,1.089,0.6605,0.3395,0.0889,0.0954,0.0871,False,5069
174,diningtable,1.008,0.7023,0.2977,0.1276,0.0548,0.0714,True,1669
17,painting,0.818,0.9475,0.0525,0.1265,0.0816,0.0623,False,8160
252,garbagecan,0.578,0.6525,0.3475,0.0966,0.0301,0.0729,True,9317
61,painting,0.842,0.8855,0.1145,0.1184,0.0775,0.0768,False,3923
78,painting,0.889,0.911,0.089,0.0871,0.0961,0.0886,False,7125
126,painting,0.808,0.8552,0.1448,0.0898,0.1016,0.1043,True,6103
254,desklamp,0.537,0.27,0.73,0.1195,0.0764,0.1417,True,157
29,countertop,1.829,0.0097,0.9902,0.1115,0.1467,0.5397,True,1587
241,diningtable,1.473,0.0,1.0,0.1235,0.0998,0.2579,True,749
309,plunger,0.539,0.671,0.329,0.2175,0.071,0.0685,False,819
