track_id,gt_label,max_extent,coverage,unobs_frac,asset_shape_cd,asset_unobs_recon,cluster_unobs_recon,asset_better,n_clip
0,diningtable,1.473,0.3327,0.6673,0.0488,0.0483,0.1065,True,54123
1,chair,0.772,0.995,0.005,0.1858,0.1069,0.0523,False,9306
9,sofa,1.962,0.5383,0.4617,0.0515,0.0687,0.1263,True,80980
53,fridge,1.683,0.1265,0.8735,0.0797,0.1018,0.2087,True,39972
153,toilet,1.038,0.7338,0.2662,0.0512,0.0468,0.0942,True,33306
23,chair,0.868,0.412,0.588,0.0939,0.0603,0.0726,True,4813
28,shelf,0.629,0.7355,0.2645,0.0998,0.0615,0.1057,True,6440
217,sink,1.046,0.5807,0.4193,0.0833,0.0799,0.0748,False,21095
11,chair,0.837,0.705,0.295,0.0426,0.0495,0.0609,True,18623
18,dogbed,0.992,0.6402,0.3598,0.0446,0.0183,0.1331,True,16724
32,painting,0.889,0.94,0.06,0.0932,0.0945,0.0798,False,13993
77,painting,1.077,0.9407,0.0593,0.1203,0.0972,0.0645,False,10470
44,chair,0.868,0.4133,0.5867,0.1292,0.0783,0.071,False,6174
25,houseplant,0.65,0.9175,0.0825,0.0736,0.0566,0.0664,True,4683
59,painting,0.808,0.8915,0.1085,0.1058,0.1248,0.0937,False,13003
31,box,0.515,0.7085,0.2915,0.1031,0.0364,0.0902,True,2625
5,painting,0.818,0.8898,0.1102,0.1192,0.0734,0.0753,True,8232
173,chair,0.772,0.1467,0.8533,0.1962,0.1432,0.2306,True,1052
70,chair,0.83,0.0,1.0,0.1127,0.0361,0.2922,True,73
47,chair,0.868,0.0215,0.9785,0.1344,0.0637,0.3983,True,176
108,garbagecan,0.55,0.8592,0.1408,0.0458,0.0256,0.0794,True,9124
224,painting,0.842,0.9383,0.0617,0.1128,0.076,0.0632,False,3977
6,chair,0.772,0.9872,0.0128,0.0623,0.0585,0.0523,False,2451
155,chair,0.83,0.7198,0.2802,0.1139,0.0266,0.062,True,2169
147,chair,0.868,0.0297,0.9703,0.1204,0.0593,0.3157,True,922
196,plunger,0.539,0.754,0.246,0.1982,0.0719,0.069,False,979
206,chair,0.772,0.2687,0.7312,0.1142,0.0404,0.1876,True,441
