track_id,gt_label,max_extent,coverage,unobs_frac,asset_shape_cd,asset_unobs_recon,cluster_unobs_recon,asset_better,n_clip
107,bed,2.24,0.2037,0.7963,0.104,0.1719,0.1938,True,103852
0,fridge,1.967,0.1815,0.8185,0.0762,0.1065,0.1803,True,60069
105,chair,0.868,0.365,0.635,0.1743,0.0958,0.0737,False,6409
118,sofa,1.962,0.5403,0.4597,0.0426,0.0585,0.1253,True,48812
1,doorframe,2.099,0.7585,0.2415,0.0598,0.1698,0.1135,False,15991
25,sofa,1.931,0.3782,0.6218,0.0628,0.0647,0.135,True,43170
22,shelvingunit,1.103,0.763,0.237,0.0623,0.0585,0.0947,True,24880
93,chair,0.868,0.3985,0.6015,0.1109,0.0644,0.0753,True,4697
54,television,1.138,0.6322,0.3678,0.1055,0.0524,0.0726,True,20233
79,toilet,1.038,0.6408,0.3592,0.0498,0.0483,0.1069,True,20139
95,diningtable,1.473,0.1903,0.8097,0.0685,0.0712,0.1127,True,17211
26,painting,0.808,0.8535,0.1465,0.0978,0.0987,0.1024,True,11560
35,sink,1.046,0.4223,0.5777,0.0437,0.0442,0.0888,True,8525
88,painting,0.818,0.8922,0.1078,0.1205,0.0725,0.073,True,7131
29,painting,0.889,0.909,0.091,0.0925,0.0884,0.0851,False,7067
18,floorlamp,1.75,0.281,0.719,0.183,0.2331,0.2491,True,2599
148,chair,0.868,0.149,0.851,0.1329,0.072,0.1449,True,1236
116,baseballbat,0.959,0.8845,0.1155,0.0653,0.0871,0.0846,False,1475
78,plunger,0.539,0.6285,0.3715,0.1997,0.0537,0.0685,True,735
