track_id,gt_label,max_extent,coverage,unobs_frac,asset_shape_cd,asset_unobs_recon,cluster_unobs_recon,asset_better,n_clip
17,houseplant,0.65,0.8672,0.1328,0.1311,0.043,0.0733,True,4359
18,diningtable,1.473,0.2828,0.7172,0.045,0.0365,0.1073,True,22384
19,television,1.077,0.5657,0.4343,0.1463,0.0545,0.1006,True,7461
102,fridge,1.775,0.1807,0.8193,0.0725,0.0909,0.17,True,48914
38,diningtable,1.473,0.2055,0.7945,0.037,0.0296,0.1118,True,24155
128,shelvingunit,0.783,0.9688,0.0312,0.0275,0.0159,0.065,True,31902
8,toilet,1.038,0.7063,0.2937,0.066,0.0444,0.0971,True,27631
34,doorframe,2.13,0.9985,0.0015,0.0331,0.0121,0.0529,True,19285
74,dresser,1.204,0.0875,0.9125,0.1167,0.0738,0.1857,True,17199
64,houseplant,1.089,0.687,0.313,0.1164,0.1157,0.0865,False,4102
148,painting,0.842,0.9255,0.0745,0.1105,0.0739,0.0654,False,3911
96,painting,0.889,0.91,0.09,0.0811,0.088,0.0861,False,8238
3,painting,1.077,0.925,0.075,0.1256,0.1079,0.072,False,6814
47,bed,2.372,0.0573,0.9427,0.0826,0.1253,0.2933,True,5338
35,painting,0.808,0.8658,0.1342,0.1071,0.1484,0.1027,False,5763
39,chair,0.868,0.0265,0.9735,0.1268,0.0678,0.3655,True,1271
104,countertop,3.049,0.0,1.0,0.121,0.1354,0.9604,True,1844
6,plunger,0.539,0.698,0.302,0.1805,0.0603,0.0695,True,966
118,chair,0.772,0.145,0.855,0.0985,0.0317,0.2843,True,816
