track_id,gt_label,max_extent,coverage,unobs_frac,asset_shape_cd,asset_unobs_recon,cluster_unobs_recon,asset_better,n_clip
14,diningtable,1.473,0.341,0.659,0.0625,0.0402,0.103,True,40386
151,fridge,1.399,0.3038,0.6963,0.0908,0.1014,0.1447,True,46503
18,television,1.219,0.6793,0.3207,0.0996,0.0926,0.1042,True,29234
0,sofa,1.821,0.3915,0.6085,0.0728,0.0882,0.1425,True,39821
42,chair,0.837,0.0602,0.9397,0.0974,0.0583,0.2714,True,952
24,armchair,0.768,0.6098,0.3902,0.0617,0.07,0.0921,True,33883
51,doorframe,2.099,0.7715,0.2285,0.1208,0.2592,0.128,False,17755
43,chair,0.876,0.0352,0.9647,0.165,0.082,0.1742,True,202
11,diningtable,1.473,0.1807,0.8193,0.0443,0.0342,0.1105,True,16097
4,floorlamp,1.878,0.196,0.804,0.1094,0.1043,0.1159,True,12029
111,houseplant,1.089,0.6653,0.3347,0.1199,0.1091,0.086,False,5670
126,stool,0.757,0.9115,0.0885,0.0382,0.0289,0.058,True,8678
74,chair,0.837,0.7278,0.2722,0.1024,0.1065,0.0674,False,12419
106,garbagebag,0.558,0.4462,0.5537,0.1085,0.0743,0.0746,True,11475
137,painting,0.889,0.9265,0.0735,0.0947,0.0873,0.081,False,13399
145,painting,0.808,0.8722,0.1278,0.1088,0.1541,0.101,False,11643
6,painting,0.818,0.943,0.057,0.1218,0.0817,0.0636,False,8299
152,painting,0.842,0.183,0.817,0.1699,0.0554,0.2453,True,574
17,chair,0.837,0.465,0.535,0.073,0.0502,0.0933,True,6959
1,chair,0.837,0.5907,0.4093,0.0754,0.068,0.0639,False,6296
157,garbagecan,0.561,0.8373,0.1627,0.0359,0.0136,0.108,True,6010
