track_id,gt_label,max_extent,coverage,unobs_frac,asset_shape_cd,asset_unobs_recon,cluster_unobs_recon,asset_better,n_clip
412,cart,1.283,0.9992,0.0008,0.0896,0.0589,0.0517,False,18258
22,dogbed,0.992,0.2152,0.7848,0.0665,0.0274,0.157,True,4015
41,sofa,1.821,0.4808,0.5192,0.06,0.093,0.1231,True,87165
325,sofa,1.962,0.6583,0.3417,0.0504,0.0446,0.1016,True,102661
66,sidetable,1.001,0.1978,0.8023,0.0941,0.0606,0.1649,True,954
131,baseballbat,0.959,0.1245,0.8755,0.1234,0.0248,0.5291,True,378
63,bed,2.415,0.3815,0.6185,0.1179,0.2129,0.2589,True,91256
86,doorframe,2.074,0.3365,0.6635,0.0829,0.0377,0.6089,True,528
133,diningtable,1.473,0.274,0.726,0.0922,0.0622,0.1035,True,34046
110,chair,0.83,0.387,0.613,0.1243,0.031,0.0942,True,115
484,bed,2.092,0.6115,0.3885,0.046,0.0454,0.1258,True,67372
258,armchair,0.891,0.7765,0.2235,0.0513,0.0558,0.1212,True,49702
108,bed,1.714,0.1847,0.8153,0.0791,0.1561,0.2089,True,68288
58,painting,0.842,0.0587,0.9413,0.148,0.0209,0.4474,True,280
355,painting,0.808,0.1108,0.8892,0.1037,0.0296,0.4178,True,673
8,chair,0.83,0.186,0.814,0.0815,0.0375,0.1645,True,34
235,chair,0.67,0.3207,0.6793,0.1199,0.0364,0.0999,True,602
150,diningtable,1.473,0.3242,0.6758,0.0707,0.082,0.1045,True,32503
54,armchair,1.0,0.5038,0.4962,0.0513,0.0753,0.1267,True,44954
83,sofa,1.931,0.1562,0.8438,0.0689,0.0839,0.2738,True,5381
114,chair,0.83,0.0,1.0,0.2048,0.0872,0.3518,True,24
13,shelf,1.733,0.3543,0.6458,0.0807,0.0464,0.1884,True,12156
237,garbagecan,0.55,0.0037,0.9962,0.0809,0.0321,0.2621,True,653
55,television,1.219,0.8283,0.1717,0.122,0.0974,0.1084,True,49084
89,chair,0.83,0.5467,0.4533,0.1259,0.0259,0.066,True,980
12,armchair,1.0,0.454,0.546,0.0641,0.0907,0.1429,True,43983
2,diningtable,1.473,0.1762,0.8237,0.1384,0.1098,0.1212,True,16658
39,chair,0.876,0.8105,0.1895,0.0526,0.0851,0.0903,True,14970
25,armchair,1.0,0.4293,0.5707,0.063,0.0855,0.1435,True,41948
49,toilet,1.038,0.0,1.0,0.0718,0.0637,0.3175,True,11142
182,diningtable,1.473,0.182,0.818,0.0444,0.0349,0.1078,True,26656
135,diningtable,1.473,0.2285,0.7715,0.0916,0.0795,0.11,True,22558
28,floorlamp,1.865,0.3465,0.6535,0.1346,0.1833,0.2334,True,17867
366,diningtable,1.008,0.1365,0.8635,0.1117,0.0264,0.3719,True,431
393,chair,0.876,0.8163,0.1837,0.0572,0.07,0.0869,True,15871
539,drawer,1.109,0.2802,0.7198,0.0391,0.0187,0.2815,True,4146
10,diningtable,1.008,0.175,0.825,0.0819,0.021,0.1352,True,519
367,television,1.279,0.0408,0.9593,0.0954,0.0616,0.4442,True,578
15,painting,0.889,0.9445,0.0555,0.089,0.0968,0.0735,False,13801
410,houseplant,1.089,0.656,0.344,0.1612,0.1399,0.0836,False,4825
456,sink,1.046,0.354,0.646,0.0853,0.0645,0.2548,True,10937
276,chair,0.67,0.0267,0.9732,0.1823,0.0662,0.2212,True,16
359,stool,0.757,0.8982,0.1018,0.0496,0.0295,0.0594,True,7476
501,sidetable,0.724,0.1205,0.8795,0.0949,0.0654,0.0942,True,8344
96,television,1.279,0.9985,0.0015,0.0941,0.0331,0.0624,True,8941
75,garbagecan,0.561,0.7923,0.2077,0.0399,0.0254,0.1113,True,7948
215,garbagecan,0.561,0.79,0.21,0.0377,0.0141,0.103,True,7462
87,floorlamp,1.75,0.2873,0.7127,0.1925,0.2419,0.2508,True,3456
56,tvstand,1.016,0.5122,0.4878,0.0359,0.028,0.0795,True,4262
527,tvstand,1.016,0.463,0.537,0.0275,0.0196,0.0947,True,3160
29,chair,0.876,0.2135,0.7865,0.0526,0.0371,0.1181,True,358
313,plunger,0.539,0.6895,0.3105,0.2013,0.065,0.0717,True,915
536,baseballbat,0.959,0.8768,0.1232,0.0807,0.084,0.0866,True,951
419,houseplant,0.584,0.2955,0.7045,0.1043,0.0476,0.1326,True,311
